state,x,y
Abia,-51,-194
Adamawa,218,18
Akwa Ibom,-42,-236
Anambra,-94,-164
Bauchi,70,83
Bayelsa,-145,-245
Benue,1,-90
Borno,264,167
Cross River,-4,-177
Delta,-141,-199
Ebonyi,-32,-154
Edo,-147,-139
Ekiti,-188,-71
Enugu,-64,-137
Gombe,153,85
Imo,-84,-193
Jigawa,63,192
Kaduna,-46,86
Kano,7,153
Katsina,-53,193
Kebbi,-253,153
Kogi,-103,-81
Kwara,-225,-6
Lagos,-294,-144
Nasarawa,-28,-22
Niger,-195,58
Ogun,-293,-113
Ondo,-199,-115
Osun,-231,-87
Oyo,-284,-49
Plateau,42,12
Rivers,-100,-233
Sokoto,-190,229
Taraba,128,-55
Yobe,171,190
Zamfara,-120,185
Fct,-84,-11
